timestamp,irradiance,ambient_temp,panel_temp,voltage,current,power
2023-01-01 00:00:00,0.0,13.87,13.87,30.0,0.0,0.0
2023-01-01 01:00:00,0.0,13.46,13.46,30.0,0.0,0.0
2023-01-01 02:00:00,0.0,13.06,13.06,30.0,0.0,0.0
2023-01-01 03:00:00,0.0,12.72,12.72,30.0,0.0,0.0
2023-01-01 04:00:00,0.0,12.5,12.5,30.0,0.0,0.0
2023-01-01 05:00:00,0.0,12.74,12.74,30.0,0.0,0.0
2023-01-01 06:00:00,23.83,13.79,14.38575,30.11915,0.19063999999999998,5.741914756
2023-01-01 07:00:00,202.93,16.57,21.643250000000002,31.01465,1.62344,50.350423396
2023-01-01 08:00:00,396.88,19.46,29.382,31.9844,3.17504,101.551749376
2023-01-01 09:00:00,589.2,23.15,37.879999999999995,32.946,4.7136000000000005,155.29426560000002
2023-01-01 10:00:00,728.47,24.53,42.741749999999996,33.64235,5.8277600000000005,196.059541636
2023-01-01 11:00:00,818.6,25.47,45.935,34.093,6.5488,223.26823840000003
2023-01-01 12:00:00,812.75,26.03,46.348749999999995,34.06375,6.502,221.48250249999998
2023-01-01 13:00:00,730.08,26.21,44.462,33.6504,5.8406400000000005,196.539872256
2023-01-01 14:00:00,578.55,26.09,40.55375,32.89275,4.6284,152.2408041
2023-01-01 15:00:00,375.9,25.57,34.9675,31.8795,3.0071999999999997,95.86803239999999
2023-01-01 16:00:00,163.05,23.86,27.93625,30.81525,1.3044,40.1954121
2023-01-01 17:00:00,10.55,19.91,20.173750000000002,30.05275,0.0844,2.5364521
2023-01-01 18:00:00,0.0,18.15,18.15,30.0,0.0,0.0
2023-01-01 19:00:00,0.0,17.09,17.09,30.0,0.0,0.0
2023-01-01 20:00:00,0.0,16.12,16.12,30.0,0.0,0.0
2023-01-01 21:00:00,0.0,15.33,15.33,30.0,0.0,0.0
2023-01-01 22:00:00,0.0,14.74,14.74,30.0,0.0,0.0
2023-01-01 23:00:00,0.0,14.27,14.27,30.0,0.0,0.0
2023-01-02 00:00:00,0.0,13.9,13.9,30.0,0.0,0.0
2023-01-02 01:00:00,0.0,13.47,13.47,30.0,0.0,0.0
2023-01-02 02:00:00,0.0,13.15,13.15,30.0,0.0,0.0
2023-01-02 03:00:00,0.0,13.83,13.83,30.0,0.0,0.0
2023-01-02 04:00:00,0.0,14.11,14.11,30.0,0.0,0.0
2023-01-02 05:00:00,0.0,14.15,14.15,30.0,0.0,0.0
2023-01-02 06:00:00,22.25,14.61,15.16625,30.11125,0.178,5.3598025
2023-01-02 07:00:00,195.23,16.51,21.39075,30.97615,1.56184,48.379790115999995
2023-01-02 08:00:00,377.45,19.08,28.51625,31.88725,3.0196,96.2867401
2023-01-02 09:00:00,569.72,21.61,35.853,32.8486,4.55776,149.716035136
2023-01-02 10:00:00,712.92,23.31,41.132999999999996,33.5646,5.70336,191.430997056
2023-01-02 11:00:00,848.1,24.46,45.6625,34.2405,6.784800000000001,232.3149444
2023-01-02 12:00:00,840.0,25.15,46.15,34.2,6.72,229.824
2023-01-02 13:00:00,756.05,25.38,44.28125,33.78025,6.0484,204.31646410000002
2023-01-02 14:00:00,602.4,25.27,40.33,33.012,4.8191999999999995,159.09143039999998
2023-01-02 15:00:00,397.35,24.76,34.69375,31.98675,3.1788000000000003,101.67948090000002
2023-01-02 16:00:00,174.57,23.09,27.454250000000002,30.87285,1.39656,43.115787396
2023-01-02 17:00:00,11.95,19.45,19.748749999999998,30.05975,0.09559999999999999,2.8737120999999997
2023-01-02 18:00:00,0.0,18.11,18.11,30.0,0.0,0.0
2023-01-02 19:00:00,0.0,17.5,17.5,30.0,0.0,0.0
2023-01-02 20:00:00,0.0,16.98,16.98,30.0,0.0,0.0
2023-01-02 21:00:00,0.0,16.5,16.5,30.0,0.0,0.0
2023-01-02 22:00:00,0.0,15.98,15.98,30.0,0.0,0.0
2023-01-02 23:00:00,0.0,15.39,15.39,30.0,0.0,0.0
2023-01-03 00:00:00,0.0,15.03,15.03,30.0,0.0,0.0
2023-01-03 01:00:00,0.0,15.21,15.21,30.0,0.0,0.0
2023-01-03 02:00:00,0.0,15.12,15.12,30.0,0.0,0.0
2023-01-03 03:00:00,0.0,14.81,14.81,30.0,0.0,0.0
2023-01-03 04:00:00,0.0,14.51,14.51,30.0,0.0,0.0
2023-01-03 05:00:00,0.0,14.25,14.25,30.0,0.0,0.0
2023-01-03 06:00:00,22.38,14.77,15.3295,30.1119,0.17904,5.391234576
2023-01-03 07:00:00,195.02,16.94,21.8155,30.9751,1.56016,48.326112016
2023-01-03 08:00:00,408.17,19.64,29.844250000000002,32.04085,3.2653600000000003,104.62490995600001
2023-01-03 09:00:00,607.5,21.83,37.0175,33.0375,4.86,160.56225
2023-01-03 10:00:00,731.85,23.26,41.556250000000006,33.65925,5.8548,197.0681769
2023-01-03 11:00:00,812.42,24.2,44.5105,34.0621,6.499359999999999,221.38185025599998
2023-01-03 12:00:00,773.72,24.8,44.143,33.8686,6.189760000000001,209.63850553600003
2023-01-03 13:00:00,741.2,25.04,43.57,33.706,5.929600000000001,199.86309760000003
2023-01-03 14:00:00,584.95,24.89,39.51375,32.92475,4.679600000000001,154.07466010000005
2023-01-03 15:00:00,385.23,24.33,33.96075,31.92615,3.08184,98.391286116
2023-01-03 16:00:00,168.73,22.92,27.13825,30.84365,1.34984,41.633992516
2023-01-03 17:00:00,12.25,20.05,20.35625,30.06125,0.098,2.9460025
2023-01-03 18:00:00,0.0,18.88,18.88,30.0,0.0,0.0
2023-01-03 19:00:00,0.0,18.09,18.09,30.0,0.0,0.0
2023-01-03 20:00:00,0.0,17.32,17.32,30.0,0.0,0.0
2023-01-03 21:00:00,0.0,16.67,16.67,30.0,0.0,0.0
2023-01-03 22:00:00,0.0,16.17,16.17,30.0,0.0,0.0
2023-01-03 23:00:00,0.0,15.94,15.94,30.0,0.0,0.0
2023-01-04 00:00:00,0.0,16.0,16.0,30.0,0.0,0.0
2023-01-04 01:00:00,0.0,15.8,15.8,30.0,0.0,0.0
2023-01-04 02:00:00,0.0,15.47,15.47,30.0,0.0,0.0
2023-01-04 03:00:00,0.0,15.15,15.15,30.0,0.0,0.0
2023-01-04 04:00:00,0.0,14.87,14.87,30.0,0.0,0.0
2023-01-04 05:00:00,0.0,14.6,14.6,30.0,0.0,0.0
2023-01-04 06:00:00,21.85,15.06,15.606250000000001,30.10925,0.1748,5.2630969
2023-01-04 07:00:00,199.77,17.09,22.08425,30.99885,1.59816,49.541122116000004
2023-01-04 08:00:00,428.65,19.74,30.456249999999997,32.14325,3.4292,110.2256329
2023-01-04 09:00:00,628.35,22.0,37.70875,33.14175,5.026800000000001,166.59694890000003
2023-01-04 10:00:00,754.12,23.48,42.333,33.7706,6.03296,203.736678976
2023-01-04 11:00:00,841.1,24.47,45.4975,34.2055,6.728800000000001,230.16196840000003
2023-01-04 12:00:00,832.35,25.09,45.89875000000001,34.16175,6.6588,227.4762609
2023-01-04 13:00:00,756.6,25.34,44.254999999999995,33.783,6.0528,204.48174240000003
2023-01-04 14:00:00,601.15,25.11,40.13875,33.00575,4.8092,158.7312529
2023-01-04 15:00:00,395.9,24.43,34.3275,31.9795,3.1672,101.2854724
2023-01-04 16:00:00,173.93,22.78,27.12825,30.86965,1.39144,42.953265796000004
2023-01-04 17:00:00,12.57,19.87,20.184250000000002,30.06285,0.10056,3.023120196
2023-01-04 18:00:00,0.0,18.7,18.7,30.0,0.0,0.0
2023-01-04 19:00:00,0.0,18.12,18.12,30.0,0.0,0.0
2023-01-04 20:00:00,0.0,17.66,17.66,30.0,0.0,0.0
2023-01-04 21:00:00,0.0,17.01,17.01,30.0,0.0,0.0
2023-01-04 22:00:00,0.0,16.73,16.73,30.0,0.0,0.0
2023-01-04 23:00:00,0.0,16.65,16.65,30.0,0.0,0.0
2023-01-05 00:00:00,0.0,16.38,16.38,30.0,0.0,0.0
2023-01-05 01:00:00,0.0,16.15,16.15,30.0,0.0,0.0
2023-01-05 02:00:00,0.0,15.61,15.61,30.0,0.0,0.0
2023-01-05 03:00:00,0.0,15.14,15.14,30.0,0.0,0.0
2023-01-05 04:00:00,0.0,14.84,14.84,30.0,0.0,0.0
2023-01-05 05:00:00,0.0,14.58,14.58,30.0,0.0,0.0
